requirement,configuration
"Integration of NAT with MPLS VPNs to allow customers to use overlapped IP addresses while accessing services such as Internet connectivity, domain name servers (DNS), and voice over IP (VoIP) service.",Implementing NAT on the customer edge (CE) router or the provider edge (PE) router in an MPLS cloud.
Configuring Inside Dynamic NAT with MPLS VPNs,1. enable 2. configure terminal 3. ip nat pool name start-ip end-ip netmask netmask 4. ip nat [inside | outside] source [list {access-list-number | access-list-name} | route-map name] [interface type number | pool pool-name] vrf vrf-name[overload] 5. Repeat Step 4 for each VPN being configured
Configure Inside Static NAT with MPLS VPNs for the router.,"Enable higher privilege levels, enter global configuration mode, configure inside static translation on the VRF, and repeat steps for each VPN being configured."
Configure inside static NAT for an MPLS VPN,ip nat inside source static local-ip global-ip
Configure IP routing for VRF shop and NAT settings,"ip route vrf shop 0.0.0.0 0.0.0.0 168.58.88.2
ip nat pool outside global-ip local-ip netmask netmask
ip nat inside source static local-ip global-ip
vrf vrf-name
ip nat outside source static global-ip local-ip vrf vrf-name
show ip nat translations vrf vrf-name"
Configuring Outside Dynamic NAT with MPLS VPNs,Router> enable; configure terminal
Configure NAT settings for multiple VPNs.,"For each VPN, perform Steps 7 to 10 from the text provided. This includes enabling global configuration mode, setting up NAT pools, associating VRF with translation rules, and displaying IP NAT translations for the specific VRF."
Display settings used by VRF translations,"show ip nat translations vrf vrf-name
Example: Router# show ip nat translations vrf shop"
"IP NAT and IP Routing configurations for VRFs ""shop"", ""bank"", and ""park"" with specific static source addresses.","- ip nat inside source static 192.168.122.49 2.2.2.2 vrf shop
- ip nat inside source static 192.168.121.113 2.2.2.3 vrf bank
- ip nat inside source static 192.168.22.49 2.2.2.4 vrf bank
- ip nat inside source static 192.168.121.113 2.2.2.5 vrf park
- ip nat inside source static 192.168.22.49 2.2.2.6 vrf park
- ip nat inside source static 192.168.11.1 2.2.2.11 vrf shop
- ip nat inside source static 192.168.11.3 2.2.2.12 vrf shop
- ip nat inside source static 140.48.5.20 2.2.2.13 vrf shop
- ip route 2.2.2.1 255.255.255.255 Ethernet1/0 192.168.121.113
- ip route 2.2.2.2 255.255.255.255 Ethernet1/0 192.168.121.113
- ip route 2.2.2.3 255.255.255.255 Serial2/1.1 192.168.121.113
- ip route 2.2.2.4 255.255.255.255 Serial2/1.1 192.168.121.113
- ip route 2.2.2.5 255.255.255.255 FastEthernet0/0 192.168.121.113
- ip route 2.2.2.6 255.255.255.255 FastEthernet0/0 192.168.121.113
- ip route 2.2.2.11 255.255.255.255 Ethernet1/0 192.168.121.113
- ip route 2.2.2.12 255.255.255.255 Ethernet1/0 192.168.121.113"
Configuring Outside Dynamic NAT with MPLS VPNs and Configuring Outside Static NAT with MPLS VPNs.,"- IP NAT pool for outside dynamic NAT: `ip nat pool outside 4.4.4.1 4.4.4.254 netmask 255.255.255.0`
- Inside static NAT configurations: 
  - Shop VRF: `ip nat inside source static 192.168.121.113 2.2.2.1 vrf shop`
  - Bank VRF: `ip nat inside source static 192.168.122.49 2.2.2.2 vrf bank`
  - Park VRF: `ip nat inside source static 192.168.121.113 2.2.2.3 vrf park`
- Outside NAT source list to pool mapping: `ip nat outside source list 1 pool outside`"
"Monitor and maintain NAT, displaying NAT translation information.","enable, show ip nat translations [verbose], show ip nat statistics"
Define Thresholds for Address Pool,Set high and low thresholds for the address pool in terms of percentage using ip nat command.
NAT 44 pool exhaustion alert feature to enable generation of alerts before addresses in an address pool are exhausted.,"Command - ""ip nat settings pool"""
"NetFlow-like records should be sent to an external collector for each binding and when sessions are created and destroyed. Session records must contain the full 5-tuple of information (source IP address, destination IP address, source port, destination port, and protocol).",HSL messages should be sent when a NAT pool runs out of addresses. The table below describes the templates for HSL bind and session create or destroy.
"1. IPv4 address: Translated destination IP, Original source port, Original destination port, Translated destination port","1. HSL pool exhaustion templates: Table 11: Template for HSL Pool Exhaustion
2. NAT high-speed logging per VRF"
Enable HSL for all NAT translations and configure specific VPNs using the ip nat log translations flow-export v9 command.,"1. enable
2. configure terminal
3. ip nat log translations flow-export v9 udp destination addr|ipv6-destination IPv6 address vrfvrf name source interface type interface-number
4. ip nat log translations flow-export v9 {vrf-name | global-on}
5. exit"
Enabling NAT High-Speed Logging per VRF,Configuration Examples for Enabling NAT High-Speed Logging per VRF
"Stateless Network Address Translation 64 (NAT64) feature provides a translation mechanism that translates an IPv6 packet into an IPv4 packet and vice versa. The translation involves parsing the entire IPv6 header, including the extension headers, and extracting the relevant information and translating it into an IPv4 header.",Support for mapping a VRF to an IPv4 to IPv6 prefix mapping is introduced in Cisco IOS-XE release 17.4. Multiple source and destination prefixes can be mapped to a VRF.
Source routing headers are not supported.,Fragmented IPv4 UDP packets that do not contain a UDP checksum are not translated.
VRF-aware stateless NAT64 IPv4 to IPv6 prefix mappings with support for multiple source and destination prefixes in a VRF.,"Not available, as the text does not provide specific configuration details."
Configure a routing network for Stateless NAT64 communication and enable IPv6 unicast-routing.,"1. Enable
2. Configure terminal
3. ipv6 unicast-routing
4. Interface type number
5. Description string
6. ipv6 enable
7. ipv6 address {ipv6-address/prefix-length | prefix-name sub-bits/prefix-length}
8. nat64 enable
9. Exit
10. Interface type number
11. Description string
12. ip address ip-address mask
13. nat64 enable
14. Exit
15. nat64 prefix stateless ipv6-prefix/length
16. nat64 route ipv4-prefix/mask interface-type interface-number
17. .
ipv6"
Enable IPv6 unicast routing on the device.,"Device# configure terminal, ipv6 unicast-routing"
Mapping an IPv4 address to an IPv6 host for Stateless NAT with 64 translation.,nat64 prefix stateless v4v6 ipv6-prefix/length
Monitor and verify the performance of a Stateless NAT64 routing network.,"1. Use the ""show nat64 statistics"" command to display global and interface-specific statistics for translated and dropped packets.
2. Use the ""show ipv6 route"" command to view the IPv6 routing table.
3. Use the ""show ip route"" command to view the IPv4 routing table.
4. Use the ""debug nat64"" command with various options to troubleshoot and monitor the NAT64 network.
5. Use the ""ping"" command with optional protocol, tag, host-name, or system-address parameters to test connectivity within the network."
NSSA ext 2,FastEthernet0/3/4
Enable privileged EXEC mode and configure the device to forward IPv6 unicast datagrams on an interface.,enable; configure terminal; interface gigabitethernet 0/0/0; ipv6 unicast-routing
Enable Stateless NAT64 translation on an IPv6 interface,Device(config-if)# nat64 enable
The requirement is to identify the prefix that must be used to create IPv4-translatable addresses for IPv6 hosts.,Device(config)# nat64 prefix stateless [prefix] [ipv6 address]
Configure a routing network for Stateless NAT64 translation.,"ipv6 unicast-routing, nat64 enable, ipv6 address, interface configurations with ipv6 and ip addresses, nat64 prefix stateless command, and ipv6 route commands."
IPv6 address mapping relationship to IPv4 addresses for both stateless and stateful translators.,"Stateless translator uses IPv4-converted IPv6 addresses, while the stateful translator uses the corresponding IPv4 addresses to represent the IPv6 hosts."
Network Address Translation (NAT) with stateful and stateless translation capabilities.,Stateful and stateless translation algorithms for IPv6 clients and peers to connect to IPv4-only servers and peers.
"1. Non-support of translation for IPv4 options, IPv6 routing headers, hop-by-hop extension headers, destination option headers, and source routing headers.","1. Support for only TCP and UDP Layer 4 protocols in header translation.
2. Non-support of routemaps.
3. Non-support of Application-level gateways (ALGs) FTP and ICMP."
Translation support for IPv6-initiated sessions.,"Static mapping and NAT44 (static, dynamic, and PAT) configuration are supported separately but not together on the same interface. Stateful NAT64 is supported for TCP and UDP traffic between IPv6 and IPv4 networks."
"Stateful NAT64 translation for routing packets within an IPv6 network and IPv4 network, and handling asymmetric address space.",Stateful NAT64 translator with statically configured or dynamically created binding state between IPv6 address and TCP/UDP port to IPv4 address.
Support communication between IPv4-only and IPv6-only nodes using Stateful NAT64 with NAT overload or Port Address Translation (PAT) to provide a 1:n mapping between IPv4 and IPv6 addresses.,"The source IPv6 address (and the source port) is associated with an IPv4 configured pool address (and port, based on the configuration)."
Stateful IPv6-to-IPv4 Packet Flow translation based on the previously created session.,"The NAT Virtual Interface (NVI) routing setup for the stateful prefix, automatic lookups for matching configured mappings based on an access control list (ACL) lookup, and methods for extracting the destination IPv4 address by stripping the prefix from the IPv6 address."
